SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325159,6,700,0,-9260848901.767729,,,,709.6079427883216,,
D325159,6,700,7,-9260848901.767729,41791630390.70851,51052479292.47622,,709.6079427883216,230.6219981094497,478.9859446788719
D325159,6,700,25,-9260848901.767729,45630934608.528854,54891783510.296616,,709.6079427883216,226.48596661754908,483.1219761707725
D325159,7,500,0,-55374130790.24929,,,,436.1843274355239,,
D325159,7,500,7,-55374130790.24929,47538532774.79319,102912663565.04247,0.00011748975549395303,436.1843274355239,265.9716087436136,170.2127186919103
D325159,7,500,25,-55374130790.24929,51496299615.30385,106870430405.55312,0.00011246049739669269,436.1843274355239,280.8180734071625,155.36625402836142
D325159,7,700,0,-39919170420.457344,,,,771.2421052704498,,
D325159,7,700,7,-39919170420.457344,43616836023.270775,83536006443.72809,0.0001297179270983956,771.2421052704498,593.1868517115429,178.05525355890688
D325159,7,700,25,-39919170420.457344,50936232514.9397,90855402935.39702,0.0001193988104464273,771.2421052704498,568.5327177877409,202.70938748270885
D325159,8,500,0,-67178192623.54507,,,,447.74510383305307,,
D325159,8,500,7,-67178192623.54507,57684418395.144226,124862611018.68927,9.332543007969905e-05,447.74510383305307,289.7980902220378,157.94701361101528
D325159,8,500,25,-67178192623.54507,59976711105.33274,127154903728.87782,9.24698173938223e-05,447.74510383305307,308.3620957190181,139.38300811403496
D325159,8,700,0,-39477360231.96367,,,,768.6499480161906,,
D325159,8,700,7,-39477360231.96367,55105598522.979675,94582958754.94336,9.571940712948442e-05,768.6499480161906,566.4881623361906,202.16178567999998
D325159,8,700,25,-39477360231.96367,63373506179.86031,102850866411.82399,9.078205301781862e-05,768.6499480161906,552.234019328256,216.41592868793464
D325159,9,500,0,-56994489668.80719,,,,421.2584221900588,,
D325159,9,500,7,-56994489668.80719,46708451632.73264,103702941301.53984,0.00012133888504649774,421.2584221900588,267.9006973950845,153.35772479497433
D325159,9,500,25,-56994489668.80719,54159679380.95875,111154169049.76593,0.00011194378834671513,421.2584221900588,270.80778579736455,150.45063639269426
D325159,9,700,0,-55546199443.59913,,,,761.5775728489823,,
D325159,9,700,7,-55546199443.59913,48852464596.280014,104398664039.87915,0.0001035142166679344,761.5775728489823,569.6840205480199,191.89355230096237
D325159,9,700,25,-55546199443.59913,59542162816.44563,115088362260.04475,9.418895965228418e-05,761.5775728489823,560.3700713436074,201.20750150537492
D325159,10,500,0,-66353730480.55092,,,,440.9861734106223,,
D325159,10,500,7,-66353730480.55092,48500629576.32338,114854360056.87431,0.000101391138573668,440.9861734106223,269.21507430264256,171.77109910797975
D325159,10,500,25,-66353730480.55092,61976963448.01771,128330693928.56863,9.14113241470251e-05,440.9861734106223,303.0314814203304,137.9546919902919
D325159,10,700,0,-62081337991.92484,,,,749.6543577674001,,
D325159,10,700,7,-62081337991.92484,44745463461.97791,106826801453.90274,9.594006315159336e-05,749.6543577674001,560.6950861785649,188.95927158883524
